l;t_sob;Type;C_l;t_ost;t_ozh;j_l
1;0.724;1;1;0.24244;0.724;1
2;0.96644;2;0;-1;0.48156;1
3;1.448;1;1;0.14912;0.724;2
4;1.59712;2;0;-1;0.57488;2
5;2.172;1;1;0.30387;0.724;3
6;2.47587;2;0;-1;0.42013;3
7;2.896;1;1;0.44746;0.724;4
8;3.34346;2;0;-1;0.27654;4
9;3.62;1;1;0.09675;0.724;5
10;3.71675;2;0;-1;0.62725;5
11;4.344;1;1;2.53211;0.724;6
12;5.068;3;1;1.80811;0.724;7
13;5.792;3;1;1.08411;0.724;8
14;6.516;3;1;0.36011;0.724;9
15;6.87611;2;0;-1;0.36389;6
16;7.24;1;1;0.16018;0.724;10
17;7.40018;2;0;-1;0.56382;10
18;7.964;1;1;0.39085;0.724;11
19;8.35485;2;0;-1;0.33315;11
20;8.688;1;1;0.89801;0.724;12
21;9.412;3;1;0.17401;0.724;13
22;9.58601;2;0;-1;0.54999;12
23;10.136;1;1;0.01978;0.724;14
24;10.15578;2;0;-1;0.70422;14
25;10.86;1;1;0.42636;0.724;15
26;11.28636;2;0;-1;0.29764;15
27;11.584;1;1;1.24423;0.724;16
28;12.308;3;1;0.52023;0.724;17
29;12.82823;2;0;-1;0.20377;16
30;13.032;1;1;0.57054;0.724;18
31;13.60254;2;0;-1;0.15346;18
32;13.756;1;1;0.18458;0.724;19
33;13.94058;2;0;-1;0.53942;19
34;14.48;1;1;0.03873;0.724;20
35;14.51873;2;0;-1;0.68527;20
36;15.204;1;1;0.00432;0.724;21
37;15.20832;2;0;-1;0.71968;21
38;15.928;1;1;1.47945;0.724;22
39;16.652;3;1;0.75545;0.724;23
40;17.376;3;1;0.03145;0.724;24
41;17.40745;2;0;-1;0.69255;22
42;18.1;1;1;2.14678;0.724;25
43;18.824;3;1;1.42278;0.724;26
44;19.548;3;1;0.69878;0.724;27
45;20.24678;2;0;-1;0.02522;25
46;20.272;1;1;1.1879;0.724;28
47;20.996;3;1;0.4639;0.724;29
48;21.4599;2;0;-1;0.2601;28
49;21.72;1;1;1.69887;0.724;30
50;22.444;3;1;0.97487;0.724;31
51;23.168;3;1;0.25087;0.724;32
52;23.41887;2;0;-1;0.47313;30
53;23.892;1;1;0.40025;0.724;33
54;24.29225;2;0;-1;0.32375;33
55;24.616;1;1;0.57984;0.724;34
56;25.19584;2;0;-1;0.14416;34
57;25.34;1;1;0.06323;0.724;35
58;25.40323;2;0;-1;0.66077;35
59;26.064;1;1;0.22913;0.724;36
60;26.29313;2;0;-1;0.49487;36
61;26.788;1;1;1.45236;0.724;37
62;27.512;3;1;0.72836;0.724;38
63;28.236;3;1;0.00436;0.724;39
64;28.24036;2;0;-1;0.71964;37
65;28.96;1;1;1.94188;0.724;40
66;29.684;3;1;1.21788;0.724;41
67;30.408;3;1;0.49388;0.724;42
68;30.90188;2;0;-1;0.23012;40
69;31.132;1;1;0.61165;0.724;43
70;31.74365;2;0;-1;0.11235;43
71;31.856;1;1;0.5252;0.724;44
72;32.3812;2;0;-1;0.1988;44
73;32.58;1;1;0.47589;0.724;45
74;33.05589;2;0;-1;0.24811;45
75;33.304;1;1;0.18465;0.724;46
76;33.48865;2;0;-1;0.53935;46
77;34.028;1;1;0.39718;0.724;47
78;34.42518;2;0;-1;0.32682;47
79;34.752;1;1;0.15758;0.724;48
80;34.90958;2;0;-1;0.56642;48
81;35.476;1;1;0.56934;0.724;49
82;36.04534;2;0;-1;0.15466;49
83;36.2;1;1;0.02581;0.724;50
84;36.22581;2;0;-1;0.69819;50
85;36.924;1;1;0.38499;0.724;51
86;37.30899;2;0;-1;0.33901;51
87;37.648;1;1;0.88963;0.724;52
88;38.372;3;1;0.16563;0.724;53
89;38.53763;2;0;-1;0.55837;52
90;39.096;1;1;0.13813;0.724;54
91;39.23413;2;0;-1;0.58587;54
92;39.82;1;1;0.33918;0.724;55
93;40.15918;2;0;-1;0.38482;55
94;40.544;1;1;0.02664;0.724;56
95;40.57064;2;0;-1;0.69736;56
96;41.268;1;1;0.10601;0.724;57
97;41.37401;2;0;-1;0.61799;57
98;41.992;1;1;0.82256;0.724;58
99;42.716;3;1;0.09856;0.724;59
100;42.81456;2;0;-1;0.62544;58
