j;t_z;t_obsl;t_kob
0;0.724;0.24244;0.96644
1;1.448;0.14912;1.5971199999999999
2;2.172;0.30387;2.47587
3;2.896;0.44746;3.34346
4;3.62;0.09675;3.71675
5;4.344;2.53211;6.876110000000001
6;5.068;0;5.068
7;5.792;0;5.792
8;6.516;0;6.516
9;7.24;0.16018;7.400180000000001
10;7.964;0.39085;8.35485
11;8.688;0.89801;9.58601
12;9.412;0;9.412
13;10.136;0.01978;10.15578
14;10.86;0.42636;11.28636
15;11.584;1.24423;12.82823
16;12.308;0;12.308
17;13.032;0.57054;13.60254
18;13.756;0.18458;13.94058
19;14.48;0.03873;14.51873
20;15.204;0.00432;15.20832
21;15.928;1.47945;17.40745
22;16.652;0;16.652
23;17.376;0;17.376
24;18.1;2.14678;20.24678
25;18.824;0;18.824
26;19.548;0;19.548
27;20.272;1.1879;21.459899999999998
28;20.996;0;20.996
29;21.72;1.69887;23.41887
30;22.444;0;22.444
31;23.168;0;23.168
32;23.892;0.40025;24.29225
33;24.616;0.57984;25.19584
34;25.34;0.06323;25.40323
35;26.064;0.22913;26.29313
36;26.788;1.45236;28.24036
37;27.512;0;27.512
38;28.236;0;28.236
39;28.96;1.94188;30.901880000000002
40;29.684;0;29.684
41;30.408;0;30.408
42;31.132;0.61165;31.743650000000002
43;31.856;0.5252;32.3812
44;32.58;0.47589;33.05589
45;33.304;0.18465;33.48865
46;34.028;0.39718;34.42518
47;34.752;0.15758;34.909580000000005
48;35.476;0.56934;36.045339999999996
49;36.2;0.02581;36.22581
50;36.924;0.38499;37.30899
51;37.648;0.88963;38.53763
52;38.372;0;38.372
53;39.096;0.13813;39.23412999999999
54;39.82;0.33918;40.15918
55;40.544;0.02664;40.57064
56;41.268;0.10601;41.37401
57;41.992;0.82256;42.81456
58;42.716;0;42.716
