j;t_z;q_j;t_och;t_nob;t_obsl;t_kob
1;0.98812;0;0;0.98812;0.738;1.72612
2;2.34454;0;0;2.34454;0.738;3.08254
3;3.04293;1;0.77761;3.82054;0.738;4.55854
4;4.3903;1;0.86663;5.25693;0.738;5.99493
5;6.67515;0;0;6.67515;0.738;7.41315
6;7.88031;0;0;7.88031;0.738;8.61831
7;7.9434;1;1.41291;9.35631;0.738;10.09431
8;9.62838;0;0;9.62838;0.738;10.36638
9;11.5596;0;0;11.5596;0.738;12.2976
10;12.29063;1;0.74497;13.0356;0.738;13.7736
11;14.41442;0;0;14.41442;0.738;15.15242
12;15.26243;0;0;15.26243;0.738;16.00043
13;17.22173;0;0;17.22173;0.738;17.95973
14;19.38923;0;0;19.38923;0.738;20.12723
15;21.99647;0;0;21.99647;0.738;22.73447
16;24.36676;0;0;24.36676;0.738;25.10476
17;25.60959;0;0;25.60959;0.738;26.34759
18;27.87691;0;0;27.87691;0.738;28.61491
19;28.79111;0;0;28.79111;0.738;29.52911
20;30.82555;0;0;30.82555;0.738;31.56355
21;31.41328;1;0.88827;32.30155;0.738;33.03955
22;34.62562;0;0;34.62562;0.738;35.36362
23;34.78108;1;1.32054;36.10162;0.738;36.83962
24;36.52663;0;0;36.52663;0.738;37.26463
25;37.10561;1;0.89702;38.00263;0.738;38.74063
26;38.44103;1;0.87858;39.31961;0.738;40.05761
27;40.59271;0;0;40.59271;0.738;41.33071
28;41.04836;1;1.02035;42.06871;0.738;42.80671
29;41.99264;1;1.26972;43.26236;0.738;44.00036
30;45.3218;0;0;45.3218;0.738;46.0598
31;47.66107;0;0;47.66107;0.738;48.39907
32;48.70803;0;0;48.70803;0.738;49.44603
33;49.09045;1;1.09358;50.18403;0.738;50.92203
34;51.41172;0;0;51.41172;0.738;52.14972
35;51.80683;1;1.08089;52.88772;0.738;53.62572
36;52.0001;2;1.62562;53.62572;0.738;54.36372
37;52.88298;2;2.06912;54.9521;0.738;55.6901
38;55.17048;0;0;55.17048;0.738;55.90848
39;56.47317;0;0;56.47317;0.738;57.21117
40;56.70731;1;1.24186;57.94917;0.738;58.68717
41;56.9096;2;1.77757;58.68717;0.738;59.42517
42;58.55881;1;1.30279;59.8616;0.738;60.5996
43;60.25047;0;0;60.25047;0.738;60.98847
44;61.10505;0;0;61.10505;0.738;61.84305
45;61.31012;1;1.27093;62.58105;0.738;63.31905
46;65.33177;0;0;65.33177;0.738;66.06977
47;67.97334;0;0;67.97334;0.738;68.71134
48;69.0392;0;0;69.0392;0.738;69.7772
49;69.57803;1;0.93717;70.5152;0.738;71.2532
50;77.61348;0;0;77.61348;0.738;78.35148
51;77.91792;1;1.17156;79.08948;0.738;79.82748
