j;t_z;q_j;t_och;t_nob;t_obsl;t_kob;k_j
1;0.51505;0;0.0;0.51505;2.16997;2.68502;1
2;2.53474;0;0.0;2.53474;6.4614;8.99614;2
3;2.71801;0;0.0;2.71801;0.58301;3.30102;1
4;3.0867;0;0.0;3.0867;2.85405;5.94075;3
5;3.75735;0;0.0;3.75735;5.33338;9.09073;1
6;4.62467;0;0.0;4.62467;4.15817;8.78284;4
7;5.51736;0;0.0;5.51736;8.58858;14.10594;5
8;6.40146;0;0.0;6.40146;1.0937;7.49516;3
9;7.3099;0;0.0;7.3099;0.03471;7.34461;6
10;7.44191;0;0.0;7.44191;1.28536;8.72727;6
11;7.80294;0;0.0;7.80294;4.7876;12.59054;3
12;8.51895;1;4.07159;12.59054;1.30776;13.8983;4
13;9.65955;0;0.0;9.65955;0.33144;9.99099;1
14;10.74315;0;0.0;10.74315;2.15028;12.89343;1
15;11.9368;0;0.0;11.9368;5.46731;17.40411;2
16;12.12377;0;0.0;12.12377;-1;-1;4
17;12.39786;1;0.0;12.39786;-1;-1;6
18;12.50378;2;1.60216;14.10594;4.92777;19.03371;6
19;12.73748;1;0.0;12.73748;-1;-1;3
20;13.03003;1;0.0;13.03003;5.99548;19.02551;1
21;13.95551;1;0.0;13.95551;6.51602;20.47153;4
22;14.07759;2;3.32652;17.40411;0.29933;17.70344;3
23;16.19922;2;0.0;16.19922;1.41425;17.61347;5
24;18.49684;0;0.0;18.49684;0.66503;19.16187;2
25;20.9358;0;0.0;20.9358;7.01508;27.95088;1
26;21.89957;0;0.0;21.89957;0.22643;22.126;2
27;22.79302;0;0.0;22.79302;3.25533;26.04835;2
28;22.82347;0;0.0;22.82347;1.06988;23.89335;3
29;24.68585;0;0.0;24.68585;6.85413;31.53998;3
30;25.45437;0;0.0;25.45437;5.70948;31.16385;4
31;27.80841;0;0.0;27.80841;0.43085;28.23926;2
32;28.25616;0;0.0;28.25616;2.42331;30.67947;1
33;29.42725;0;0.0;29.42725;2.548;31.97525;2
34;32.03258;0;0.0;32.03258;2.63538;34.66796;1
35;32.48468;0;0.0;32.48468;5.38843;37.87311;2
36;33.09964;0;0.0;33.09964;2.07645;35.17609;3
37;33.89747;0;0.0;33.89747;3.98654;37.88401;4
38;34.29577;1;0.0;34.29577;0.08825;34.38402;5
39;37.4096;0;0.0;37.4096;1.83285;39.24245;1
40;38.03328;0;0.0;38.03328;0.77511;38.80839;2
41;40.78899;0;0.0;40.78899;6.16869;46.95768;1
42;40.91502;0;0.0;40.91502;1.26224;42.17726;2
43;42.32789;0;0.0;42.32789;1.55046;43.87835;2
44;44.0972;0;0.0;44.0972;8.13882;52.23602;2
45;44.65327;0;0.0;44.65327;0.48324;45.13651;3
46;45.36136;0;0.0;45.36136;1.33532;46.69668;3
47;47.46307;0;0.0;47.46307;-1;-1;1
48;49.93009;0;0.0;49.93009;3.21419;53.14428;3
49;50.21427;0;0.0;50.21427;1.02824;51.24251;4
50;52.68931;0;0.0;52.68931;-1;-1;2
51;52.78575;0;0.0;52.78575;-1;-1;4
52;53.9298;0;0.0;53.9298;2.79883;56.72863;3
53;55.21036;1;0.0;55.21036;-1;-1;5
