l;t_sob;Type;C_l;t_osmin;t_ozh;j_l;k_l
1;0.45652;1;1;3.83412;0.51058;1;1
2;0.9671;1;2;3.32354;1.19519;2;2
3;2.16229;1;3;0.14666;0.07012;3;3
4;2.23241;1;4;0.07654;0.58396;4;4
5;2.30895;2;3;1.98169;0.50742;3;3
6;2.81637;1;4;1.47427;0.46587;5;3
7;3.28224;1;5;1.0084;1.51019;6;5
8;4.29064;2;4;0.50786;0.50179;1;1
9;4.79243;1;5;0.00149;0.76121;7;1
10;4.79392;2;4;0.00458;0.75972;7;1
11;4.7985;2;3;3.41241;0.75514;2;2
12;5.55364;1;4;2.65727;0.15198;8;1
13;5.70562;1;5;1.75233;0.67995;9;2
14;6.38557;1;6;1.07238;0.33083;10;6
15;6.7164;1;7;0.74155;0.18319;11;-1
16;6.89959;1;8;0.55836;0.41246;12;-1
17;7.31205;1;9;0.1459;0.24375;13;-1
18;7.45795;2;8;0.75296;0.09785;9;2
19;7.5558;1;9;0.65511;0.2531;14;2
20;7.8089;1;10;0.40201;1.12049;15;-1
21;8.21091;2;9;0.32336;0.71848;6;5
22;8.53427;2;8;0.0079;0.39512;14;2
23;8.54217;2;7;0.18101;0.38722;8;1
24;8.72318;2;6;3.12746;0.20621;12;6
25;8.92939;1;7;1.07454;0.62307;16;1
26;9.55246;1;8;0.45147;0.12083;17;5
27;9.67329;1;9;0.33064;3.26066;18;6
28;10.00393;2;8;1.84671;2.93002;16;1
29;11.85064;2;7;4.5414;1.08331;4;4
30;12.93395;1;8;0.24587;1.15437;19;1
31;13.17982;2;7;3.21222;0.9085;19;1
32;14.08832;1;8;2.1967;0.64826;20;1
33;14.73658;1;9;1.54844;0.4479;21;4
34;15.18448;1;10;1.10054;0.1748;22;-1
35;15.35928;1;11;0.92574;1.13486;23;-1
36;16.28502;2;10;0.09324;0.20912;20;1
37;16.37826;2;9;0.01378;0.11588;21;4
38;16.39204;2;8;0.47265;0.1021;13;3
39;16.49414;1;9;0.37055;0.60797;24;1
40;16.86469;2;8;2.00164;0.23742;22;2
41;17.10211;1;9;0.98608;0.1167;25;2
42;17.21881;1;10;0.86938;0.01545;26;3
43;17.23426;1;11;0.85393;0.5837;27;4
44;17.81796;1;12;0.27023;0.53362;28;-1
45;18.08819;2;11;0.12223;0.26339;25;2
46;18.21042;2;10;0.65591;0.14116;27;4
47;18.35158;1;11;0.51475;1.95885;29;2
48;18.86633;2;10;2.84326;1.4441;18;6
49;20.31043;1;11;1.39916;0.5059;30;4
50;20.81633;1;12;0.89326;2.12118;31;6
51;21.70959;2;11;0.19307;1.22792;24;1
52;21.90266;2;10;0.68703;1.03485;23;5
53;22.58969;2;9;1.07741;0.34782;31;6
54;22.93751;1;10;0.72959;0.65706;32;1
55;23.59457;1;11;0.07253;0.67956;33;5
56;23.6671;2;10;0.31492;0.60703;29;2
57;23.98202;2;9;0.49089;0.29211;30;4
58;24.27413;1;10;0.19878;3.8049;34;2
59;24.47291;2;9;1.07617;3.60612;32;1
60;25.54908;2;8;0.05846;2.52995;34;2
61;25.60754;2;7;2.12093;2.47149;33;5
62;27.72847;2;6;9999999;0.35056;28;3
63;28.07903;1;7;6.91251;6.5527;35;1
64;34.63173;1;8;0.35981;0.33472;36;2
65;34.96645;1;9;0.02509;0.82477;37;3
66;34.99154;2;8;1.43617;0.79968;35;1
67;35.79122;1;9;0.63649;0.00459;38;1
68;35.79581;1;10;0.6319;0.17312;39;4
69;35.96893;1;11;0.45878;1.29147;40;5
70;36.42771;2;10;0.36623;0.83269;36;2
71;36.79394;2;9;0.08549;0.46646;39;4
72;36.87943;2;8;0.41198;0.38097;37;3
73;37.2604;1;9;0.03101;0.05221;41;2
74;37.29141;2;8;1.51163;0.0212;38;1
75;37.31261;1;9;1.49043;0.32259;42;1
76;37.6352;1;10;1.16784;2.50338;43;3
77;38.80304;2;9;1.15502;1.33554;40;5
78;39.95806;2;8;5.3191;0.18052;43;3
79;40.13858;1;9;2.22794;0.28434;44;3
80;40.42292;1;10;1.9436;0.81923;45;4
81;41.24215;1;11;0.19283;1.62654;46;5
82;41.43498;2;10;0.93154;1.43371;46;5
83;42.36652;2;9;0.14666;0.50217;44;3
84;42.51318;2;8;2.76398;0.35551;45;4
85;42.86869;1;9;2.40847;0.12054;47;3
86;42.98923;1;10;2.28793;0.31709;48;4
87;43.30632;1;11;1.97084;0.75922;49;5
88;44.06554;1;12;0.15921;0.86051;50;6
89;44.22475;2;11;1.05241;0.7013;50;6
90;44.92605;1;12;0.35111;2.32828;51;6
91;45.27716;2;11;0.19111;1.97717;42;1
92;45.46827;2;10;0.73236;1.78606;41;2
93;46.20063;2;9;1.48186;1.0537;47;3
94;47.25433;1;10;0.42816;0.4451;52;1
95;47.68249;2;9;4.65397;0.01694;48;4
96;47.69943;1;10;4.63703;1.13655;53;2
97;48.83598;1;11;0.35088;2.10985;54;3
98;49.18686;2;10;3.1496;1.75897;54;3
99;50.94583;1;11;0.86028;2.08622;55;3
100;51.80611;2;10;0.53035;1.22594;55;3
